question_id,db_id,question,predicted_sql,latency_seconds,llm_model,embedding_model,method,timestamp
1,concert_singer,How many singers do we have ?,SELECT COUNT(*) FROM singer,5.1795,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:37.685407
2,concert_singer,What is the total number of singers ?,SELECT COUNT(*) FROM singer,0.291,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:37.978907
3,concert_singer,"Show name , country , age for all singers ordered by age from the oldest to the youngest .","SELECT singer.name, singer.country, singer.age FROM singer INNER JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id INNER JOIN stadium ON singer.singer_id = stadium.sticker_id ORDER BY singer.age ASC LIMIT 1",0.7036,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:38.683477
4,concert_singer,"What are the names , countries , and ages for every singer in descending order of age ?","SELECT name, country, age FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id JOIN stadium AS T3 ON T1.Stadium_ID = T3.Stadium_ID WHERE T2.Country = 'France' ORDER BY age DESC LIMIT 1",0.7678,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:39.451270
5,concert_singer,"What is the average , minimum , and maximum age of all singers from France ?",SELECT AVG(age) FROM singer WHERE country = 'France',0.3552,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:39.806515
6,concert_singer,"What is the average , minimum , and maximum age for all French singers ?",SELECT AVG(age) FROM singer WHERE country = 'France',0.3789,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:40.185434
7,concert_singer,Show the name and the release year of the song by the youngest singer .,"SELECT S2.Name, S1.Song_release_year FROM singer AS S1 JOIN singer_in_concert AS S2 ON S1.Singer_ID = S2.Singer_ID JOIN stadium AS S3 ON S2.Stadium_ID = S3.Stadium_ID WHERE S1.Age < S2.Age ORDER BY S1.Name ASC LIMIT 1",0.8556,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:41.041037
8,concert_singer,What are the names and release years for all the songs of the youngest singer ?,"SELECT S1.Name, S1.Song_release_year FROM singer AS S1 JOIN singer_in_concert AS SI ON S1.Singer_ID = SI.Singer_ID JOIN stadium AS ST ON SI.Stadium_ID = ST.Stadium_ID WHERE S1.Age = MIN(SI.Age) AND S1.Is_male = TRUE ORDER BY S1.Song_release_year DESC LIMIT 1",0.9365,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:41.977557
9,concert_singer,What are all distinct countries where singers above age 20 are from ?,SELECT DISTINCT country FROM singer WHERE Age > 20 AND Is_male = TRUE AND Singer_ID IN (SELECT Stadium_ID FROM concert WHERE Concert_Name LIKE '%Hey%'),0.5486,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:42.526867
10,concert_singer,What are the different countries with singers above age 20 ?,SELECT DISTINCT country FROM singer WHERE Age > 20 AND Singer_ID IN (SELECT Stadium_ID FROM concert WHERE Concert_Name LIKE '%France%'),0.5261,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:43.052918
11,concert_singer,Show all countries and the number of singers in each country .,SELECT DISTINCT country FROM singer_in_concert JOIN singer ON singer_in_concert.singer_id = singer.singer_id JOIN stadium ON singer_in_concert.stadium_id = stadium.stadium_id WHERE singer.Country = 'ALL' GROUP BY country,0.7681,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:43.822499
12,concert_singer,How many singers are from each country ?,SELECT DISTINCT country FROM singer WHERE Country = 'France' GROUP BY country,0.3605,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:44.182960
13,concert_singer,List all song names by singers above the average age .,SELECT Song_Name FROM singer IN concert WHERE Singer_ID IN (SELECT Singer_ID FROM singer WHERE Age > (SELECT AVG(Age) FROM singer)),0.4918,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:44.675257
14,concert_singer,What are all the song names by singers who are older than average ?,SELECT Song_Name FROM singer WHERE Age > (SELECT AVG(Age) FROM singer),0.3984,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:45.073679
15,concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000 .,"SELECT T2.Location, T2.Name FROM singer_in_concert AS T1 JOIN stadium AS T2 ON T1.singer_id = T2.Singer_ID WHERE T1.Stadium_ID BETWEEN 5000 AND 10000",0.6713,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:45.744973
16,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000 ?,"SELECT location, name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",0.3911,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:46.136024
17,concert_singer,What is the maximum capacity and the average of all stadiums ?,"SELECT MAX(Capacity) AS Maximum_Capacity, AVG(Average) AS Average_Capacity FROM Stadium s JOIN singer_in_concert si ON si.singer_id = s.Singer_ID GROUP BY s.Stadium_ID",0.6109,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:46.747877
18,concert_singer,What is the average and maximum capacities for all stadiums ?,"SELECT AVG(Capacity) AS avg_capacity, MAX(Capacity) AS max_capacity FROM stadium s JOIN concert c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Stadium_ID",0.634,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:47.381868
19,concert_singer,What is the name and capacity for the stadium with highest average attendance ?,"SELECT T2.name, T2.capacity FROM concert AS T1 JOIN singer AS T2 ON T1.concert_id = T2.concert_id JOIN stadium AS T3 ON T1.Stadium_ID = T3.Stadium_ID WHERE T1.Year > 2013 GROUP BY T3.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1",0.8351,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:48.216935
20,concert_singer,What is the name and capacity for the stadium with the highest average attendance ?,"SELECT T2.name, T2.capacity FROM concert AS T1 JOIN singer AS T2 ON T1.concert_id = T2.concert_id JOIN stadium AS T3 ON T1.Stadium_ID = T3.Stadium_ID WHERE T1.Year = '2014' GROUP BY T3.Stadium_ID ORDER BY T3.Average DESC LIMIT 1",0.8902,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:49.107146
21,concert_singer,How many concerts are there in year 2014 or 2015 ?,SELECT COUNT(*) FROM concert WHERE YEAR = 2014 OR YEAR = 2015,0.4077,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:49.514876
22,concert_singer,How many concerts occurred in 2014 or 2015 ?,"SELECT COUNT(*) FROM concert WHERE YEAR(Concert_Year) IN (2014, 2015)",0.4496,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:49.965433
23,concert_singer,Show the stadium name and the number of concerts in each stadium .,"SELECT T2.name, COUNT(*) FROM concert AS T1 JOIN singer AS T2 ON T1.concert_id = T2.concert_id JOIN stadium AS T3 ON T1.Stadium_ID = T3.Stadium_ID GROUP BY T3.Stadium_ID",0.7058,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:50.672065
24,concert_singer,"For each stadium , how many concerts play there ?","SELECT S1.Stadium_ID, COUNT(*) AS Concerts FROM concert AS S1 JOIN singer AS S2 ON S2.Singer_ID = S1.Singer_ID JOIN singer_in_concert AS S3 ON S3.Concert_ID = S1.Concert_ID JOIN stadium AS S4 ON S4.Stadium_ID = S3.Stadium_ID GROUP BY S4.Stadium_ID, S2.Name ORDER BY Concerts DESC LIMIT 1",0.9822,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:51.654216
25,concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after .,"SELECT T2.name, T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.concert_id = T2.concert_id WHERE YEAR(T2.Year) > = 2014 GROUP BY T2.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1",0.7229,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:52.377079
26,concert_singer,What is the name and capacity of the stadium with the most concerts after 2013 ?,"SELECT T2.name, T2.capacity FROM concert AS T1 JOIN singer AS T2 ON T1.concert_id = T2.concert_id JOIN stadium AS T3 ON T1.Stadium_ID = T3.Stadium_ID WHERE T1.Year > 2013 GROUP BY T3.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1",0.8418,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:53.218910
27,concert_singer,Which year has most number of concerts ?,SELECT YEAR FROM concert GROUP BY YEAR ASC LIMIT 1,0.3072,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:53.526080
28,concert_singer,What is the year that had the most concerts ?,SELECT YEAR FROM concert GROUP BY YEAR HAVING COUNT(*) = 1,0.3442,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:53.870282
29,concert_singer,Show the stadium names without any concert .,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id JOIN stadium AS T3 ON T1.stadium_id = T3.stadium_id WHERE T3.year NOT IN (SELECT year FROM concert GROUP BY Theme),0.7668,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:54.637098
30,concert_singer,What are the names of the stadiums without any concerts ?,SELECT T2.name FROM concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id JOIN stadium AS T3 ON T1.Stadium_ID = T3.Stadium_ID WHERE T3.Year = '2023' AND T3.Is_male = 'FALSE',0.8038,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:55.441173
31,concert_singer,Show countries where a singer above age 40 and a singer below 30 are from .,SELECT DISTINCT country FROM singer WHERE Age > 40 AND Age < 30,0.3749,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:55.816108
32,concert_singer,Show names for all stadiums except for stadiums having a concert in year 2014 .,SELECT S.Name FROM singer_in_concert AS T1 JOIN stadium AS T2 ON T1.concert_ID = T2.concert_ID WHERE T2.Year ! = 2014 GROUP BY T2.Stadium_ID,0.6357,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:56.452857
33,concert_singer,What are the names of all stadiums that did not have a concert in 2014 ?,SELECT T2.name FROM concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id JOIN stadium AS T3 ON T1.stadium_id = T3.Stadium_ID WHERE T3.year ! = 2014,0.6956,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:57.148484
34,concert_singer,Show the name and theme for all concerts and the number of singers in each concert .,"SELECT T1.Name, T1.Theme FROM concert AS T1 JOIN singer AS T2 ON T1.Stadium_ID = T2.Stadium_ID JOIN singer_in_concert AS T3 ON T1.Concert_ID = T3.Concert_ID WHERE T3.Year = '2023' GROUP BY T3.Name, T3.Theme",0.8643,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:58.012765
35,concert_singer,"What are the names , themes , and number of singers for every concert ?","SELECT T1.Name AS Concert_Name, T1.Theme AS Theme, COUNT(T2.Singer_ID) AS Number_of_Singers FROM concert AS T1 JOIN singer AS T2 ON T1.Stadium_ID = T2.Stadium_ID JOIN singer_in_concert AS T3 ON T1.Concert_ID = T3.Concert_ID WHERE T3.Year = '2023'",0.9583,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:58.971699
36,concert_singer,List singer names and number of concerts for each singer .,"SELECT S1.Name, COUNT(*) AS Concert_Count FROM singer AS S1 JOIN singer_in_concert AS Si ON S1.Singer_ID = Si.Singer_ID JOIN stadium AS St ON Si.Stadium_ID = St.Stadium_ID GROUP BY S1.Name HAVING COUNT(*) > 1",0.7388,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:59.711710
37,concert_singer,What are the names of the singers and number of concerts for each person ?,"SELECT singer.name, COUNT(*) AS num_concerts FROM singer INNER JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON concert.concert_id = concert.concert_id GROUP BY singer.name",0.7068,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:00.418516
38,concert_singer,List all singer names in concerts in year 2014 .,SELECT T2.Name FROM concert AS T1 JOIN singer AS T2 ON T1.concert_ID = T2.concert_ID JOIN singer_in_concert AS T3 ON T1.singer_ID = T3.singer_ID JOIN stadium AS T4 ON T1.Stadium_ID = T4.Stadium_ID WHERE YEAR(T3.Year) = 2014,0.8829,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:01.301417
39,concert_singer,What are the names of the singers who performed in a concert in 2014 ?,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id JOIN concert AS T3 ON T1.concert_id = T3.concert_id WHERE T3.year = 2014,0.7113,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:02.012697
40,concert_singer,what is the name and nation of the singer who have a song having 'Hey ' in its name ?,"SELECT T2.Name, T2.Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN stadium AS T3 ON T1.Stadium_ID = T3.Stadium_ID WHERE T2.Song_Name LIKE '%Hey%'",0.7623,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:02.774975
41,concert_singer,What is the name and country of origin of every singer who has a song with the word 'Hey ' in its title ?,"SELECT T2.name, T2.country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.singer_id = T2.singer_id JOIN stadium AS T3 ON T1.Stadium_ID = T3.Stadium_ID WHERE T2.Song_Name LIKE '%Hey%'",0.7715,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:03.546464
42,concert_singer,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015 .,"SELECT T2.name, T2.Location FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID JOIN stadium AS T3 ON T1.Stadium_ID = T3.Stadium_ID WHERE T1.Year BETWEEN 2014 AND 2015",0.7965,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:04.342969
43,concert_singer,What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015 ?,"SELECT T2.name, T2.Location FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID JOIN stadium AS T3 ON T1.Stadium_ID = T3.Stadium_ID WHERE T1.Year BETWEEN 2014 AND 2015 GROUP BY T2.Stadium_ID ORDER BY GroupingColumnDesc LIMIT 1",0.9401,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:05.283112
44,concert_singer,Find the number of concerts happened in the stadium with the highest capacity .,SELECT COUNT(*) FROM concert c JOIN singer s ON c.Stadium_ID = s.Singer_ID LEFT JOIN singer_in_concert si ON c.Concert_ID = si.singer_id AND si.Stadium_ID = s.Stadium_ID WHERE si.Year > 2013 GROUP BY si.Stadium_ID HAVING COUNT(*) = 1,0.8821,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:06.165952
45,concert_singer,What are the number of concerts that occurred in the stadium with the largest capacity ?,SELECT MAX(Year) FROM concert JOIN singer_in_concert ON concert.Stadium_ID = singer_in_concert.Concert_ID GROUP BY Concert.Stadium_ID,0.5153,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:06.681278
46,pets_1,Find the number of pets whose weight is heavier than 10 .,SELECT COUNT(*) FROM Pets WHERE PetID IN (SELECT PetID FROM Has_Pet GROUP BY PetType) HAVING Weight > 10,0.4944,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:07.175691
47,pets_1,How many pets have a greater weight than 10 ?,SELECT COUNT(*) FROM Pets AS P WHERE PetType = 'Pet' AND pet_age > 10,0.4149,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:07.590639
48,pets_1,Find the weight of the youngest dog .,"SELECT PetID, PetType, pet_age FROM Pets WHERE PetAge = MIN(PetAge) AND PetType LIKE 'dog%'",0.4639,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:08.054560
49,pets_1,How much does the youngest dog weigh ?,SELECT MIN(pet_age) FROM pets WHERE PetID IN (SELECT StuID FROM student WHERE StuID = Stu.StuID),0.4764,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:08.530986
50,pets_1,Find the maximum weight for each type of pet . List the maximum weight and pet type .,"SELECT PetType, MAX(weight) AS MaxWeight FROM Has_Pet JOIN Pets ON Has_Pet.StuID = Pets.PetID GROUP BY PetType",0.4751,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:09.006118
51,pets_1,List the maximum weight and type for each type of pet .,"SELECT PetType, MAX(weight) AS MaxWeight FROM Pets GROUP BY PetType",0.3546,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:09.360723
52,pets_1,Find number of pets owned by students who are older than 20 .,SELECT COUNT(*) FROM Has_Pet AS H1 JOIN Pets AS P ON H1.StuID = P.StuID WHERE H1.PetAge > 20,0.5251,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:09.885774
53,pets_1,How many pets are owned by students that have an age greater than 20 ?,SELECT COUNT(*) FROM Has_Pet AS H1 JOIN Pets AS P ON H1.StuID = P.StuID WHERE H1.PetAge > 20,0.5387,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:10.424497
54,pets_1,Find the number of dog pets that are raised by female students ( with sex F ) .,SELECT COUNT(*) FROM Has_Pet AS H1 JOIN Pets AS P ON H1.StuID = P.StuID JOIN Student AS S ON P.PetID = S.PetID WHERE S.Sex = 'F' AND P.PetType IN ('Dog'),0.6904,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:11.114887
55,pets_1,How many dog pets are raised by female students ?,SELECT COUNT(*) FROM Has_Pet AS H1 JOIN Pets AS P ON H1.StuID = P.StuID WHERE P.PetType = 'Dog' AND H1.PetID IN (SELECT PetID FROM Student WHERE Sex = 'Female'),0.7243,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:11.839222
56,pets_1,Find the number of distinct type of pets .,SELECT COUNT(DISTINCT PetType) FROM Has_Pet JOIN Pets ON Has_Pet.StuID = Pets.StuID WHERE Pets.pet_age > 0 AND Pets.pet_age < 100,0.5967,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:12.436579
57,pets_1,How many different types of pet are there ?,SELECT COUNT(DISTINCT PetType) FROM Pets JOIN Has_Pet ON Pets.PetID = Has_Pet.StuID GROUP BY PetType,0.4601,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:12.896664
58,pets_1,Find the first name of students who have cat or dog pet .,"SELECT T2.LName FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.PetType IN ('cat', 'dog')",0.6433,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:13.539928
59,pets_1,What are the first names of every student who has a cat or dog as a pet ?,"SELECT T1.LName FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS P ON T2.PetID = P.PetID WHERE T2.PetType IN ('cat', 'dog')",0.6971,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:14.237051
60,pets_1,Find the first name of students who have both cat and dog pets .,"SELECT T1.LName FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID AND T2.PetType IN ('cat', 'dog')",0.5755,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:14.812565
61,pets_1,What are the students ' first names who have both cats and dogs as pets ?,"SELECT Stu.LName, F.Fname FROM Student AS Stu JOIN Pets AS Pet ON Stu.StuID = Pet.PetID AND Pet.PetType = 'cat' OR Pet.PetType = 'dog' GROUP BY Stu.LName ORDER BY Stu.LName ASC LIMIT 1",0.7236,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:15.536811
62,pets_1,Find the major and age of students who do not have a cat pet .,"SELECT Stu.LName, Stu.FName, Stu.Age FROM Student AS Stu JOIN Has_Pet AS H ON Stu.StuID = H.StuID WHERE H.PetType < > 'Cat' AND H.PetID NOT IN (SELECT PetID FROM Pets)",0.6828,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:16.219606
63,pets_1,"What major is every student who does not own a cat as a pet , and also how old are they ?","SELECT T2.LName, T2.FName, T2.Age FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T1.PetType ! = 'Cat' AND T1.PetID NOT IN (SELECT PetID FROM Pets)",0.7745,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:16.994149
64,pets_1,Find the id of students who do not have a cat pet .,SELECT StuID FROM Has_Pet WHERE PetType < > 'Cat',0.3746,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:17.368736
65,pets_1,What are the ids of the students who do not own cats as pets ?,SELECT StuID FROM Student WHERE PetID NOT IN (SELECT PetID FROM Pets),0.3734,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:17.742093
66,pets_1,Find the first name and age of students who have a dog but do not have a cat as a pet .,"SELECT T1.LName, T1.FName, T1.Age FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType < > 'cat' AND T3.pet_age > 0",0.836,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:24:18.578062
