question_id;db_id;question;predicted_sql;latency_seconds;llm_model;embedding_model;method;timestamp
1;concert_singer;How many singers do we have ?;SELECT COUNT(*) FROM singer;54.634;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:15.473019
2;concert_singer;What is the total number of singers ?;SELECT COUNT(*) FROM singer;22.088;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:17.682969
3;concert_singer;Show name , country , age for all singers ordered by age from the oldest to the youngest .;SELECT name, country, age FROM singer ORDER BY age DESC;25.447;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:20.228394
4;concert_singer;What are the names , countries , and ages for every singer in descending order of age ?;SELECT name, country, age FROM singer ORDER BY age DESC;25.138;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:22.742918
5;concert_singer;What is the average , minimum , and maximum age of all singers from France ?;SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';29.086;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:25.653085
6;concert_singer;What is the average , minimum , and maximum age for all French singers ?;SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';2.928;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:28.581768
7;concert_singer;Show the name and the release year of the song by the youngest singer .;SELECT T2.Name, T2.Song_release_year FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID ORDER BY T2.Age ASC LIMIT 1;43.628;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:32.946557
8;concert_singer;What are the names and release years for all the songs of the youngest singer ?;SELECT T2.Name, T2.Song_release_year FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID ORDER BY T2.Age ASC LIMIT 1;44.499;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:37.397289
9;concert_singer;What are all distinct countries where singers above age 20 are from ?;SELECT DISTINCT country FROM singer WHERE age > 20;25.237;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:39.922063
10;concert_singer;What are the different countries with singers above age 20 ?;SELECT DISTINCT country FROM singer WHERE age > 20;25.214;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:42.444586
11;concert_singer;Show all countries and the number of singers in each country .;SELECT country, COUNT(*) FROM singer GROUP BY country;24.218;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:44.866918
12;concert_singer;How many singers are from each country ?;SELECT Country, COUNT(*) FROM singer GROUP BY Country;23.789;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:47.246959
13;concert_singer;List all song names by singers above the average age .;SELECT Song_Name FROM singer WHERE Age > (SELECT AVG(Age) FROM singer);27.737;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:50.022028
14;concert_singer;What are all the song names by singers who are older than average ?;SELECT T2.Song_Name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.concert_ID = T3.concert_ID WHERE T2.Age > (SELECT AVG(age) FROM singer);50.759;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:55.098950
15;concert_singer;Show location and name for all stadiums with a capacity between 5000 and 10000 .;SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000;30.086;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:15:58.108570
16;concert_singer;What are the locations and names of all stations with capacity between 5000 and 10000 ?;SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000;28.865;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:00.996227
17;concert_singer;What is the maximum capacity and the average of all stadiums ?;SELECT MAX(Capacity), AVG(Capacity) FROM stadium;2.466;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:03.466684
18;concert_singer;What is the average and maximum capacities for all stadiums ?;SELECT AVG(Capacity), MAX(Capacity) FROM stadium;24.917;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:05.959409
19;concert_singer;What is the name and capacity for the stadium with highest average attendance ?;SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1;25.357;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:08.496232
20;concert_singer;What is the name and capacity for the stadium with the highest average attendance ?;SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1;25.223;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:11.019650
21;concert_singer;How many concerts are there in year 2014 or 2015 ?;SELECT COUNT(*) FROM concert WHERE Year = 2014 OR Year = 2015;28.505;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:13.870693
22;concert_singer;How many concerts occurred in 2014 or 2015 ?;SELECT COUNT(*) FROM concert WHERE Year = 2014 OR Year = 2015;28.461;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:16.717539
23;concert_singer;Show the stadium name and the number of concerts in each stadium .;SELECT T2.Name, COUNT(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T1.Stadium_ID;36.897;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:20.408764
24;concert_singer;For each stadium , how many concerts play there ?;SELECT T2.Name, COUNT(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_ID = T2.concert_ID JOIN stadium AS T3 ON T2.Stadium_ID = T3.Stadium_ID GROUP BY T3.Stadium_ID;47.476;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:25.157491
25;concert_singer;Show the stadium name and capacity with most number of concerts in year 2014 or after .;SELECT T2.Name, T2.Capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T1.Year = 2014 OR T1.Year > 2014 GROUP BY T1.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1;53.285;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:30.487067
26;concert_singer;What is the name and capacity of the stadium with the most concerts after 2013 ?;SELECT T2.Name, T2.Capacity FROM stadium AS T2 JOIN concert AS T1 ON T2.Stadium_ID = T1.Stadium_ID WHERE T1.Year > 2013 GROUP BY T1.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1;47.305;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:35.218652
27;concert_singer;Which year has most number of concerts ?;SELECT Year FROM concert GROUP BY Year ORDER BY COUNT(*) DESC LIMIT 1;27.075;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:37.927290
28;concert_singer;What is the year that had the most concerts ?;SELECT Year FROM concert GROUP BY Year ORDER BY COUNT(*) DESC LIMIT 1;25.926;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:40.521103
29;concert_singer;Show the stadium names without any concert .;SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id;36.042;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:44.126625
30;concert_singer;What are the names of the stadiums without any concerts ?;SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id;35.973;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:47.725129
31;concert_singer;Show countries where a singer above age 40 and a singer below 30 are from .;SELECT DISTINCT country FROM singer WHERE age > 40 INTERSECT SELECT country FROM singer WHERE age < 30;31.043;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:50.830506
32;concert_singer;Show names for all stadiums except for stadiums having a concert in year 2014 .;SELECT Name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year = 2014;40.539;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:54.885537
33;concert_singer;What are the names of all stadiums that did not have a concert in 2014 ?;SELECT Name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year = 2014;40.923;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:16:58.978530
34;concert_singer;Show the name and theme for all concerts and the number of singers in each concert .;SELECT T1.Name, T1.Theme, COUNT(T2.Singer_ID) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID GROUP BY T1.concert_ID;44.956;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:03.474789
35;concert_singer;What are the names , themes , and number of singers for every concert ?;SELECT T1.Name, T1.Theme, COUNT(T2.Singer_ID) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID JOIN singer AS T3 ON T2.Singer_ID = T3.Singer_ID GROUP BY T1.concert_ID;53.886;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:08.864858
36;concert_singer;List singer names and number of concerts for each singer .;SELECT T1.Name, COUNT(*) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.Singer_ID;38.875;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:12.752969
37;concert_singer;What are the names of the singers and number of concerts for each person ?;SELECT T1.Name, COUNT(*) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.Singer_ID;40.408;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:16.794969
38;concert_singer;List all singer names in concerts in year 2014 .;SELECT T2.Name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.concert_ID = T3.concert_ID WHERE T3.Year = '2014';5.012;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:21.808002
39;concert_singer;What are the names of the singers who performed in a concert in 2014 ?;SELECT T2.Name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.concert_ID = T3.concert_ID WHERE T3.Year = 2014;49.184;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:26.727489
40;concert_singer;what is the name and nation of the singer who have a song having 'Hey ' in its name ?;SELECT T1.Name, T1.Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.concert_ID = T3.concert_ID WHERE T1.Song_Name LIKE '%Hey%';52.651;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:31.993667
41;concert_singer;What is the name and country of origin of every singer who has a song with the word 'Hey ' in its title ?;SELECT T1.Name, T1.Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.concert_ID = T3.concert_ID WHERE T1.Song_Name LIKE '%Hey%';51.233;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:37.118026
42;concert_singer;Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015 .;SELECT T2.Name, T2.Location FROM stadium AS T2 JOIN concert AS T1 ON T2.Stadium_ID = T1.Stadium_ID WHERE T1.Year = 2014 OR T1.Year = 2015;45.687;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:41.687241
43;concert_singer;What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015 ?;SELECT T2.Name, T2.Location FROM stadium AS T2 JOIN concert AS T1 ON T2.Stadium_ID = T1.Stadium_ID WHERE T1.Year = 2014 INTERSECT SELECT T2.Name, T2.Location FROM stadium AS T2 JOIN concert AS T1 ON T2.Stadium_ID = T1.Stadium_ID WHERE T1.Year = 2015;62.634;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:47.951775
44;concert_singer;Find the number of concerts happened in the stadium with the highest capacity .;SELECT COUNT(*) FROM concert WHERE stadium_ID = (SELECT stadium_ID FROM stadium ORDER BY Capacity DESC LIMIT 1);31.499;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:51.102171
45;concert_singer;What are the number of concerts that occurred in the stadium with the largest capacity ?;SELECT COUNT(*) FROM concert WHERE stadium_ID = (SELECT stadium_ID FROM stadium ORDER BY Capacity DESC LIMIT 1);29.988;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:54.103001
46;pets_1;Find the number of pets whose weight is heavier than 10 .;SELECT COUNT(*) FROM Pets WHERE weight > 10;25.158;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:56.619812
47;pets_1;How many pets have a greater weight than 10 ?;SELECT COUNT(*) FROM Pets WHERE weight > 10;24.289;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:17:59.049496
48;pets_1;Find the weight of the youngest dog .;SELECT weight FROM Pets WHERE PetType = 'dog' ORDER BY pet_age ASC LIMIT 1;28.826;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:01.933091
49;pets_1;How much does the youngest dog weigh ?;SELECT weight FROM Pets WHERE PetType = 'dog' ORDER BY pet_age ASC LIMIT 1;27.418;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:04.675976
50;pets_1;Find the maximum weight for each type of pet . List the maximum weight and pet type .;SELECT pet_type, MAX(weight) FROM Pets GROUP BY pet_type;26.128;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:07.289344
51;pets_1;List the maximum weight and type for each type of pet .;SELECT PetType, MAX(weight) FROM Pets GROUP BY PetType;25.236;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:09.814228
52;pets_1;Find number of pets owned by students who are older than 20 .;SELECT COUNT(T1.StuID) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T1.Age > 20;37.231;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:13.538317
53;pets_1;How many pets are owned by students that have an age greater than 20 ?;SELECT COUNT(T1.PetID) FROM Has_Pet AS T1 JOIN Student AS T2 ON T1.StuID = T2.StuID WHERE T2.Age > 20;38.427;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:17.381976
54;pets_1;Find the number of dog pets that are raised by female students ( with sex F ) .;SELECT COUNT(*) FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T1.StuID IN (SELECT StuID FROM Student WHERE Sex = 'F') AND T2.PetType = 'Dog';44.287;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:21.811703
55;pets_1;How many dog pets are raised by female students ?;SELECT COUNT(*) FROM Has_Pet WHERE PetType = 'Dog' AND Sex = 'F';28.758;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:24.688614
56;pets_1;Find the number of distinct type of pets .;SELECT COUNT(DISTINCT PetType) FROM Pets;23.918;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:27.081182
57;pets_1;How many different types of pet are there ?;SELECT COUNT(DISTINCT PetType) FROM Pets;23.662;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:29.448242
58;pets_1;Find the first name of students who have cat or dog pet .;SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'cat' OR T3.PetType = 'dog';49.374;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:34.386745
59;pets_1;What are the first names of every student who has a cat or dog as a pet ?;SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'cat' OR T3.PetType = 'dog';49.747;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:39.362986
60;pets_1;Find the first name of students who have both cat and dog pets .;SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'cat' AND T3.PetType = 'dog';50.331;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:44.397498
61;pets_1;What are the students ' first names who have both cats and dogs as pets ?;SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'cat' AND T3.PetType = 'dog';49.418;gemma3:4b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:18:49.340423
