question_id;db_id;question;predicted_sql;latency_seconds;model;timestamp
1;concert_singer;How many singers do we have ?;SELECT COUNT(*) FROM singer;55.014;codellama:7b;2025-12-06T23:07:51.190682
2;concert_singer;What is the total number of singers ?;SELECT COUNT(*) FROM singer;0.53;codellama:7b;2025-12-06T23:07:51.720655
3;concert_singer;Show name , country , age for all singers ordered by age from the oldest to the youngest .;SELECT s.Name, s.Country, s.Age FROM singer AS s ORDER BY s.Age DESC;11.083;codellama:7b;2025-12-06T23:07:52.828939
4;concert_singer;What are the names , countries , and ages for every singer in descending order of age ?;SELECT s.Name AS Name, s.Country AS Country, s.Age AS Age FROM singer AS s;23.095;codellama:7b;2025-12-06T23:07:55.138402
5;concert_singer;What is the average , minimum , and maximum age of all singers from France ?;SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';11.455;codellama:7b;2025-12-06T23:07:56.283890
6;concert_singer;What is the average , minimum , and maximum age for all French singers ?;SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';11.109;codellama:7b;2025-12-06T23:07:57.395764
7;concert_singer;Show the name and the release year of the song by the youngest singer .;SELECT T1.Name, T1.Song_release_year FROM singer AS T1 WHERE T1.Age = (SELECT MIN(T3.Age) FROM singer AS T3);48.101;codellama:7b;2025-12-06T23:08:02.207156
8;concert_singer;What are the names and release years for all the songs of the youngest singer ?;SELECT DISTINCT s.Name, s.Song_release_year FROM singer AS s JOIN singer_in_concert AS sc ON s.Singer_ID = sc.Singer_ID WHERE s.Age = (SELECT MIN(s2.Age) FROM singer AS s2);26.575;codellama:7b;2025-12-06T23:08:04.864690
9;concert_singer;What are all distinct countries where singers above age 20 are from ?;SELECT DISTINCT Country FROM singer WHERE Age > 20 AND Is_male = true;10.082;codellama:7b;2025-12-06T23:08:05.872877
10;concert_singer;What are the different countries with singers above age 20 ?;SELECT DISTINCT country FROM singer WHERE age > 20;0.6525;codellama:7b;2025-12-06T23:08:06.525410
11;concert_singer;Show all countries and the number of singers in each country .;SELECT country, COUNT(*) FROM singer GROUP BY country;0.8629;codellama:7b;2025-12-06T23:08:07.389858
12;concert_singer;How many singers are from each country ?;SELECT Country, COUNT(*) FROM singer GROUP BY Country;0.7431;codellama:7b;2025-12-06T23:08:08.132932
13;concert_singer;List all song names by singers above the average age .;SELECT DISTINCT s.Song_Name FROM singer AS s WHERE s.Age > (SELECT AVG(s2.Age) FROM singer AS s2);24.605;codellama:7b;2025-12-06T23:08:10.594460
14;concert_singer;What are all the song names by singers who are older than average ?;SELECT DISTINCT T1.Song_Name FROM singer AS T1 WHERE T1.Age > (SELECT AVG(T4.Age) FROM singer AS T4);33.219;codellama:7b;2025-12-06T23:08:13.917497
15;concert_singer;Show location and name for all stadiums with a capacity between 5000 and 10000 .;SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000;13.944;codellama:7b;2025-12-06T23:08:15.311898
16;concert_singer;What are the locations and names of all stations with capacity between 5000 and 10000 ?;SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000;12.294;codellama:7b;2025-12-06T23:08:16.541336
17;concert_singer;What is the maximum capacity and the average of all stadiums ?;SELECT MAX(Capacity) AS Maximum_Capacity, AVG(Average) AS Average_Attendance FROM stadium;5.062;codellama:7b;2025-12-06T23:08:21.604367
18;concert_singer;What is the average and maximum capacities for all stadiums ?;SELECT AVG(Capacity), MAX(Capacity) FROM stadium;0.8335;codellama:7b;2025-12-06T23:08:22.438823
19;concert_singer;What is the name and capacity for the stadium with highest average attendance ?;SELECT Name, Capacity FROM Stadium WHERE Average = (SELECT MAX(Average) FROM Stadium);0.9308;codellama:7b;2025-12-06T23:08:23.370588
20;concert_singer;What is the name and capacity for the stadium with the highest average attendance ?;SELECT Name, Capacity FROM Stadium WHERE Average = (SELECT MAX(Average) FROM Stadium);0.9651;codellama:7b;2025-12-06T23:08:24.335723
21;concert_singer;How many concerts are there in year 2014 or 2015 ?;SELECT COUNT(*) FROM concert WHERE year = '2014' OR year = '2015';12.303;codellama:7b;2025-12-06T23:08:25.566035
22;concert_singer;How many concerts occurred in 2014 or 2015 ?;SELECT COUNT(*) FROM concert WHERE year = '2014' OR year = '2015';10.204;codellama:7b;2025-12-06T23:08:26.587456
23;concert_singer;Show the stadium name and the number of concerts in each stadium .;SELECT Stadium.Name, COUNT(*) AS NumConcerts FROM Stadium;19.576;codellama:7b;2025-12-06T23:08:28.545080
24;concert_singer;For each stadium , how many concerts play there ?;SELECT Stadium.Stadium_ID, COUNT(Concert.concert_ID) AS Concerts FROM Stadium LEFT JOIN Concert ON Stadium.Stadium_ID = Concert.Stadium_ID;2.405;codellama:7b;2025-12-06T23:08:30.951158
25;concert_singer;Show the stadium name and capacity with most number of concerts in year 2014 or after .;SELECT T2.Name, T2.Capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T1.Year > = 2014 GROUP BY T2.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1;2.683;codellama:7b;2025-12-06T23:08:33.634163
26;concert_singer;What is the name and capacity of the stadium with the most concerts after 2013 ?;SELECT T2.name, T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year > 2013 GROUP BY T2.stadium_id ORDER BY COUNT(*) DESC LIMIT 1;26.084;codellama:7b;2025-12-06T23:08:36.243571
27;concert_singer;Which year has most number of concerts ?;SELECT T1.Year AS Year, COUNT(*) AS ConcertCount FROM Concert AS T1;26.338;codellama:7b;2025-12-06T23:08:38.877335
28;concert_singer;What is the year that had the most concerts ?;SELECT T1.Year FROM Concert AS T1 JOIN (SELECT Year, COUNT(*) AS TotalConcerts FROM Concert GROUP BY Year) AS T2 ON T1.Year = T2.Year;23.371;codellama:7b;2025-12-06T23:08:41.214392
29;concert_singer;Show the stadium names without any concert .;SELECT DISTINCT Name FROM Stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM Concert);10.399;codellama:7b;2025-12-06T23:08:42.254300
30;concert_singer;What are the names of the stadiums without any concerts ?;SELECT DISTINCT Stadium.Name FROM Stadium WHERE Stadium.Stadium_ID NOT IN (SELECT Stadium_ID FROM Concert);11.496;codellama:7b;2025-12-06T23:08:43.403876
31;concert_singer;Show countries where a singer above age 40 and a singer below 30 are from .;SELECT DISTINCT Country FROM singer WHERE Age > 40 AND Singer_ID IN (SELECT Singer_ID FROM singer WHERE Age < 30);14.212;codellama:7b;2025-12-06T23:08:44.825104
32;concert_singer;Show names for all stadiums except for stadiums having a concert in year 2014 .;SELECT DISTINCT T2.Name FROM stadium AS T1 JOIN singer_in_concert AS T3 ON T1.Stadium_ID = T3.Stadium_ID JOIN concert AS T4 ON T3.Concert_ID = T4.Concert_ID WHERE T4.Year != 2014;28.002;codellama:7b;2025-12-06T23:08:47.625308
33;concert_singer;What are the names of all stadiums that did not have a concert in 2014 ?;SELECT DISTINCT T2.Name FROM Stadium AS T1 JOIN Concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE NOT EXISTS (SELECT * FROM Concert WHERE Year = 2014 AND Concert_ID = T2.Concert_ID);26.939;codellama:7b;2025-12-06T23:08:50.319187
34;concert_singer;Show the name and theme for all concerts and the number of singers in each concert .;SELECT T1.Name, T2.Theme, COUNT(*) AS Number_of_singers FROM Concert AS T1 JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID GROUP BY T1.Concert_ID;23.576;codellama:7b;2025-12-06T23:08:52.676792
35;concert_singer;What are the names , themes , and number of singers for every concert ?;SELECT T1.Name AS 'Singer Name', T2.Theme AS 'Concert Theme', COUNT(T3.Singer_ID) AS 'Number of Singers' FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID JOIN singer_in_concert AS T3 ON T2.Concert_ID = T3.Concert_ID;39.745;codellama:7b;2025-12-06T23:08:56.651257
36;concert_singer;List singer names and number of concerts for each singer .;SELECT T1.Name, COUNT(*) AS NumConcerts FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID;20.333;codellama:7b;2025-12-06T23:08:58.685524
37;concert_singer;What are the names of the singers and number of concerts for each person ?;SELECT T2.Name, COUNT(*) AS NumConcerts FROM singer_in_concert AS T1;24.934;codellama:7b;2025-12-06T23:09:01.178887
38;concert_singer;List all singer names in concerts in year 2014 .;SELECT DISTINCT T3.Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID WHERE T3.Year = 2014;2.785;codellama:7b;2025-12-06T23:09:03.963843
39;concert_singer;What are the names of the singers who performed in a concert in 2014 ?;SELECT DISTINCT T3.Name FROM singer_in_concert AS T1 WHERE T2.Year = 2014;3.008;codellama:7b;2025-12-06T23:09:06.971885
40;concert_singer;what is the name and nation of the singer who have a song having 'Hey ' in its name ?;SELECT T1.name, T1.country FROM singer AS T1 WHERE T1.song_name LIKE '%Hey%';72.119;codellama:7b;2025-12-06T23:09:14.183750
41;concert_singer;What is the name and country of origin of every singer who has a song with the word 'Hey ' in its title ?;SELECT DISTINCT s.Name, s.Country FROM singer AS s WHERE c.Theme LIKE '%Hey%';31.009;codellama:7b;2025-12-06T23:09:17.285832
42;concert_singer;Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015 .;SELECT DISTINCT Stadium.Name, Stadium.Location FROM Stadium WHERE Concert.Year IN ('2014', '2015');22.471;codellama:7b;2025-12-06T23:09:19.532941
43;concert_singer;What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015 ?;SELECT DISTINCT Stadium.Name, Stadium.Location FROM Stadium WHERE Concert.Year IN ('2014', '2015');30.397;codellama:7b;2025-12-06T23:09:22.573660
44;concert_singer;Find the number of concerts happened in the stadium with the highest capacity .;SELECT COUNT(*) FROM concert WHERE Stadium_ID = (SELECT Stadium_ID FROM stadium ORDER BY Capacity DESC LIMIT 1);1.266;codellama:7b;2025-12-06T23:09:23.840659
45;concert_singer;What are the number of concerts that occurred in the stadium with the largest capacity ?;SELECT COUNT(*) FROM concert WHERE Stadium_ID = (SELECT Stadium_ID FROM stadium ORDER BY Capacity DESC LIMIT 1);11.265;codellama:7b;2025-12-06T23:09:24.967148
46;pets_1;Find the number of pets whose weight is heavier than 10 .;SELECT COUNT(*) FROM Pets WHERE weight > 10;0.8984;codellama:7b;2025-12-06T23:09:25.868617
47;pets_1;How many pets have a greater weight than 10 ?;SELECT COUNT(*) FROM Pets WHERE weight > 10;0.7721;codellama:7b;2025-12-06T23:09:26.640753
48;pets_1;Find the weight of the youngest dog .;SELECT weight FROM Pets WHERE PetID IN (SELECT PetID FROM Has_Pet WHERE StuID IN (SELECT StuID FROM Student WHERE Major = 1 AND Sex = 'M' AND city_code = 'NYC')) ORDER BY pet_age LIMIT 1;23.219;codellama:7b;2025-12-06T23:09:28.962614
49;pets_1;How much does the youngest dog weigh ?;SELECT MIN(weight) FROM Pets WHERE PetType = 'dog' AND pet_age < 10;14.363;codellama:7b;2025-12-06T23:09:30.399926
50;pets_1;Find the maximum weight for each type of pet . List the maximum weight and pet type .;SELECT MAX(weight), PetType FROM Pets GROUP BY PetType;0.8446;codellama:7b;2025-12-06T23:09:31.245199
51;pets_1;List the maximum weight and type for each type of pet .;SELECT MAX(weight), PetType FROM Pets GROUP BY PetType;0.6429;codellama:7b;2025-12-06T23:09:31.888653
52;pets_1;Find number of pets owned by students who are older than 20 .;SELECT COUNT(*) FROM Student AS T1 WHERE T1.Age > 20;39.067;codellama:7b;2025-12-06T23:09:35.796336
53;pets_1;How many pets are owned by students that have an age greater than 20 ?;SELECT COUNT(*) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T1.Age > 20;23.349;codellama:7b;2025-12-06T23:09:38.131826
54;pets_1;Find the number of dog pets that are raised by female students ( with sex F ) .;SELECT COUNT(*) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T1.Sex = 'F' AND T3.PetType = 'dog';26.056;codellama:7b;2025-12-06T23:09:40.739463
55;pets_1;How many dog pets are raised by female students ?;SELECT COUNT(*) FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID = T2.PetID WHERE T1.PetType = 'dog' AND T2.StuID IN (SELECT StuID FROM Student WHERE Sex = 'F');22.736;codellama:7b;2025-12-06T23:09:43.013055
56;pets_1;Find the number of distinct type of pets .;SELECT COUNT(DISTINCT PetType) FROM Pets WHERE PetID IN (SELECT PetID FROM Has_Pet);11.609;codellama:7b;2025-12-06T23:09:44.175223
57;pets_1;How many different types of pet are there ?;SELECT COUNT(DISTINCT PetType) FROM Pets;0.7363;codellama:7b;2025-12-06T23:09:44.911528
58;pets_1;Find the first name of students who have cat or dog pet .;SELECT Fname FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType = 'cat' OR PetType = 'dog'));18.456;codellama:7b;2025-12-06T23:09:46.757161
59;pets_1;What are the first names of every student who has a cat or dog as a pet ?;SELECT Fname FROM Student WHERE StuID IN (SELECT DISTINCT StuID FROM Has_Pet WHERE PetType = 'cat' OR PetType = 'dog');17.583;codellama:7b;2025-12-06T23:09:48.515465
60;pets_1;Find the first name of students who have both cat and dog pets .;SELECT Fname FROM Student WHERE StuID IN (SELECT DISTINCT StuID FROM Has_Pet WHERE PetType = 'cat') AND StuID IN (SELECT DISTINCT StuID FROM Has_Pet WHERE PetType = 'dog');20.363;codellama:7b;2025-12-06T23:09:50.551749
61;pets_1;What are the students ' first names who have both cats and dogs as pets ?;SELECT DISTINCT Fname FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType = 'cat') INTERSECT SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType = 'dog'));25.691;codellama:7b;2025-12-06T23:09:53.120821
62;pets_1;Find the major and age of students who do not have a cat pet .;SELECT Major, Age FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet WHERE PetType = 'Cat');13.052;codellama:7b;2025-12-06T23:09:54.427007
63;pets_1;What major is every student who does not own a cat as a pet , and also how old are they ?;SELECT Major, Age FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet WHERE PetType = 'cat');13.814;codellama:7b;2025-12-06T23:09:55.808359
64;pets_1;Find the id of students who do not have a cat pet .;SELECT DISTINCT T1.StuID FROM Student AS T1 LEFT JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.PetID NOT IN (SELECT PetID FROM Pets WHERE PetType = 'Cat');24.299;codellama:7b;2025-12-06T23:09:58.238211
65;pets_1;What are the ids of the students who do not own cats as pets ?;SELECT DISTINCT Student.StuID FROM Student WHERE Pets.PetType != 'cat';24.652;codellama:7b;2025-12-06T23:10:00.703428
66;pets_1;Find the first name and age of students who have a dog but do not have a cat as a pet .;SELECT Fname, Age FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetType = 'dog') AND StuID NOT IN (SELECT StuID FROM Has_Pet WHERE PetType = 'cat');18.136;codellama:7b;2025-12-06T23:10:02.517041
67;pets_1;What is the first name of every student who has a dog but does not have a cat ?;SELECT Fname FROM Student AS T1 WHERE PetType = 'dog' AND NOT EXISTS (SELECT 1 FROM Has_Pet WHERE StuID = T1.StuID AND PetType = 'cat');31.785;codellama:7b;2025-12-06T23:10:05.696983
68;pets_1;Find the type and weight of the youngest pet .;SELECT Pets.PetType, Pets.weight FROM Student WHERE Student.Age = (SELECT MIN(Student.Age) FROM Student) AND Student.city_code = 'NYC';33.527;codellama:7b;2025-12-06T23:10:09.050707
69;pets_1;What type of pet is the youngest animal , and how much does it weigh ?;SELECT PetType, weight FROM Pets WHERE PetID IN (SELECT MIN(PetID) FROM Pets GROUP BY PetType);11.724;codellama:7b;2025-12-06T23:10:10.224149
70;pets_1;Find the id and weight of all pets whose age is older than 1 .;SELECT PetID, weight FROM Pets WHERE pet_age > 1;0.8535;codellama:7b;2025-12-06T23:10:11.077656
71;pets_1;What is the id and weight of every pet who is older than 1 ?;SELECT Pets.PetID, Pets.weight FROM Student WHERE Student.Age > 1;26.968;codellama:7b;2025-12-06T23:10:13.774434
72;pets_1;Find the average and maximum age for each type of pet .;SELECT AVG(weight), MAX(pet_age) FROM pets WHERE PetType IN (SELECT PetType FROM Pets GROUP BY PetType);14.007;codellama:7b;2025-12-06T23:10:15.177697
73;pets_1;What is the average and maximum age for each pet type ?;SELECT AVG(p.pet_age), MAX(p.pet_age) FROM Student s;27.616;codellama:7b;2025-12-06T23:10:17.939318
74;pets_1;Find the average weight for each pet type .;SELECT PetType, AVG(weight) AS AvgWeight FROM Pets;19.852;codellama:7b;2025-12-06T23:10:19.924490
75;pets_1;What is the average weight for each type of pet ?;SELECT AVG(weight) FROM pets WHERE PetType IN (SELECT PetType FROM Pets GROUP BY PetType);10.087;codellama:7b;2025-12-06T23:10:20.933862
76;pets_1;Find the first name and age of students who have a pet .;SELECT Fname, Age FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet);36.538;codellama:7b;2025-12-06T23:10:24.588382
77;pets_1;What are the different first names and ages of the students who do have pets ?;SELECT DISTINCT Fname, Age FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet);0.9886;codellama:7b;2025-12-06T23:10:25.577023
78;pets_1;Find the id of the pet owned by student whose last name is ‘Smith’ .;SELECT PetID FROM Student WHERE LName = 'Smith' JOIN Has_Pet ON Student.StuID = Has_Pet.StuID JOIN Pets ON Has_Pet.PetID = Pets.PetID;19.496;codellama:7b;2025-12-06T23:10:27.528181
79;pets_1;What is the id of the pet owned by the student whose last name is 'Smith ' ?;SELECT PetID FROM Has_Pet WHERE StuID = (SELECT StuID FROM Student WHERE LName = 'Smith');10.318;codellama:7b;2025-12-06T23:10:28.560023
80;pets_1;Find the number of pets for each student who has any pet and student id .;SELECT T1.StuID, COUNT(*) AS NumPets FROM Student AS T1;22.122;codellama:7b;2025-12-06T23:10:30.772229
81;pets_1;For students who have pets , how many pets does each student have ? list their ids instead of names .;SELECT Student.StuID, COUNT(Has_Pet.PetID) AS NumPets FROM Student;21.728;codellama:7b;2025-12-06T23:10:32.945034
82;pets_1;Find the first name and gender of student who have more than one pet .;SELECT Fname, Sex FROM Student WHERE StuID IN (SELECT DISTINCT StuID FROM Has_Pet GROUP BY StuID HAVING COUNT(*) > 1);15.773;codellama:7b;2025-12-06T23:10:34.523319
83;pets_1;What is the first name and gender of the all the students who have more than one pet ?;SELECT fname, sex FROM student WHERE stuid IN (SELECT DISTINCT stuid FROM has_pet GROUP BY stuid HAVING COUNT(*) > 1);57.127;codellama:7b;2025-12-06T23:10:40.236061
84;pets_1;Find the last name of the student who has a cat that is age 3 .;SELECT LName FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE pet_age = 3 AND PetType = 'Cat'));18.431;codellama:7b;2025-12-06T23:10:42.080188
85;pets_1;What is the last name of the student who has a cat that is 3 years old ?;SELECT LName FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE pet_age = 3 AND PetType = 'cat'));16.961;codellama:7b;2025-12-06T23:10:43.777320
86;pets_1;Find the average age of students who do not have any pet .;SELECT AVG(T1.Age) FROM Student T1 WHERE NOT EXISTS (SELECT * FROM Has_Pet T2 WHERE T1.StuID = T2.StuID);17.737;codellama:7b;2025-12-06T23:10:45.550974
87;pets_1;What is the average age for all students who do not own any pets ?;SELECT AVG(Student.Age) FROM Student WHERE StuID NOT IN (SELECT PetID FROM Has_Pet);12.084;codellama:7b;2025-12-06T23:10:46.760378
88;employee_hire_evaluation;How many employees are there ?;SELECT COUNT(*) FROM employee;0.5029;codellama:7b;2025-12-06T23:10:47.265442
89;employee_hire_evaluation;Count the number of employees;SELECT COUNT(*) FROM employee;0.7114;codellama:7b;2025-12-06T23:10:47.978445
90;employee_hire_evaluation;Sort employee names by their age in ascending order .;SELECT Name FROM employee WHERE Age IS NOT NULL ORDER BY Age ASC;0.7639;codellama:7b;2025-12-06T23:10:48.742303
91;employee_hire_evaluation;List the names of employees and sort in ascending order of age .;SELECT Name FROM employee ORDER BY Age ASC;0.6259;codellama:7b;2025-12-06T23:10:49.369233
92;employee_hire_evaluation;What is the number of employees from each city ?;SELECT T1.City, COUNT(*) AS Number_of_Employees FROM employee T1;15.464;codellama:7b;2025-12-06T23:10:50.916681
93;employee_hire_evaluation;Count the number of employees for each city .;SELECT City, COUNT(*) AS Num_Employees FROM employee GROUP BY City;0.9057;codellama:7b;2025-12-06T23:10:51.823432
94;employee_hire_evaluation;Which cities do more than one employee under age 30 come from ?;SELECT DISTINCT City FROM employee WHERE Age < 30 INTERSECT SELECT DISTINCT City FROM employee WHERE Age < 30;13.785;codellama:7b;2025-12-06T23:10:53.201945
95;employee_hire_evaluation;Find the cities that have more than one employee under age 30 .;SELECT DISTINCT City FROM employee WHERE Age < 30 INTERSECT SELECT City FROM employee WHERE Age < 30;12.909;codellama:7b;2025-12-06T23:10:54.492834
96;employee_hire_evaluation;Find the number of shops in each location .;SELECT Location, COUNT(*) AS Number_of_shops FROM shop GROUP BY Location;0.9425;codellama:7b;2025-12-06T23:10:55.436366
97;employee_hire_evaluation;How many shops are there in each location ?;SELECT Location, COUNT(DISTINCT Shop_ID) AS Number_of_shops FROM shop GROUP BY Location;12.058;codellama:7b;2025-12-06T23:10:56.642675
